SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
CO[C@@H]([C]1[CH][CH]1)[CH]CCCCCCCO,1.01333764,-3.7306281,4943.51
C1[C@H](C[C@@H](C[C@@H]1O)O)CO,8.2530963,1.43347548,174.55
C[C@@H]([C@H]1CCC=C1)O,7.27322819,0.98394976,184.95
C[C@@H](C(O)O)O,8.00166666,1.00816755,180.9
C[C@@H]([C@H]1C[C@H]1CO)O,8.28330051,1.46558446,173.98
C[C@@H]([C@H]1C[C@@]1(C)O)O,7.9075166,1.19619556,182.06
C[C@@H]([C@H]1C[C@@H]1CO)O,8.30996729,1.54857801,172.82
C[C@@H]([C@H]1C[C@@]1(C)O)O,7.98044208,1.53361196,181.55
C[C@@H]([C@H]1[C@@H](OO1)C)O,6.88275034,1.02095672,223.2
CO[C@H]([C@H]1CCCC[C@@H]1O)O,7.73799207,1.38748889,184.07
C[C@@H]([C@H]1[C@H](O1)CC=C)O,7.18969042,0.39428739,189.68
C[C@@H]([C@H]1CCOC1=O)O,6.75404231,-0.59102292,252.17
C[C@@H]([C@H]1C[C@H]1OC)O,7.98942171,1.7115719,177.58
CO[C@H]([C@H](CCO)OCCOC)O,7.39268448,0.98884774,189.58
C1[C@H](C[C@H]([C@H]1CO)O)CO,8.11051066,1.3687133,175.06
C[C@@H]([C@H]1[C@@H](OO1)C)O,6.73853204,0.85469751,220.36
C1[C@H](C[C@@H]([C@H]1CO)CO)O,7.66887613,0.79701019,183.82
C1[C@@H]2[C@H](C[C@@H]2O)C[C@H]1O,8.30289243,1.60381634,174.94
COCC[C@@H]([C@H]1CCCCC1)O,8.03214298,1.37769293,177.04
C[C@@H](C(O)O)O,8.47132852,1.23429096,174.27
C1[C@H](C2(CC=C1C2O)O)C,3.727907,-1.68027925,373.7
C[C@@H]([C@H]1C[C@H](OO1)OC)O,7.75023702,1.28381498,178.95
C1[C@H](C[C@H]([C@H]1CO)O)CO,7.97173456,1.39619641,181.04
CO[C@H]([C@H]1CC2CC1C2)OC,9.23078753,2.2476286,148.73
COOC[C@H]1CCCC[C@@H]1O,7.836768,1.54504058,174.86
C[C@@H](C(CO)O)O,7.44520171,1.06694331,196.96
C[C@@H]([C@H]1C[C@@H](CO1)O)O,7.74615537,1.22857665,179.77
C1[C@H](CO[C@]1(CO)CO)CO,7.4666984,1.22531133,183.29
C[C@@H]([C@H]1CO1)CC=C,7.30234396,0.49360754,180.19
C1[C@@H]2[C@H]1C([C@H]3C[C@H]3C2)O,8.22534108,1.65606146,178.13
C1[C@H](C[C@H]([C@H](C1)O)O)CO,8.04928591,1.29959736,178.84
C1[C@H](C[C@H]2C[C@@H]1OCO2)O,8.39649827,1.60898643,172.13
C1[C@H](C[C@H]([C@@H]([C@H]1O)O)O)O,7.82370672,1.08544679,185.9
CO[C@H]([C@H]1[C@@H](CCOC1)CO)O,7.85690414,1.45742116,177.86
C1C23C1(C2)O3,7.31649368,-0.33142998,192.07
C[C@@H]([C@H]1C[C@H](O1)C=C)O,6.73064085,0.09415006,210.12
C[C@@H]([C@H]1C=CCO1)CO,6.84819237,0.89197658,200.48
C=C[C@H]1C[C@H]1OC=C,6.40900683,0.40843711,223.1
C[C@@H](C([C@@H]1CO1)O)O,7.68193741,0.76218011,190.59
C[C@@H](C(=C)C(=O)O)O,5.43349248,-1.71919098,298.91
C[C@@H]([C@H]1C[C@@H]([C@H](O1)O)O)O,8.02125858,1.19020914,175.51
C[C@@H]([C@H]1[C@H](O1)C(C)C)O,8.02289124,1.15456273,180.1
C[C@@H]([C@H]1[C@@H]([C@H](CO1)O)O)O,7.22234362,0.56653302,195.6
C[C@@H]([C@H]1C(C=CC1=O)O)O,4.94641558,-1.7523884,367.5
C[C@@H](C/C=C/C#C)O,5.8639705,-0.53279138,223.11
C[C@@H]([C@H]1C(CC(O1)O)O)O,7.97636043,1.17415465,175.55
C[C@@H]([C@H]1[C@@H]([C@@H](O1)C)O)O,7.86316267,1.21388271,179.7
C1[C@H]([C@@H]2CC=C[C@H]1[C@H]2O)O,6.94587986,0.74149975,193
C[C@@H](C(=C)C)C(=O)O,6.30152338,-0.46340333,249.68
C1C2=C1OC(=O)O2,4.59702634,-1.30503956,315.8
C[C@@H]([C@H]1[C@@H]([C@H](CO1)O)O)O,7.86778854,1.04599084,179.78
C[C@@H]([C@H]1C(C(C1O)O)O)O,7.40792264,0.91728281,193
CO[C@H]([C@H]1CC(OC[C@@H]1OC)O)O,7.23159536,1.05116093,188.91
C1COCO1,8.95051423,2.09307012,157.78
CO[C@H]([C@H]1CC2C=CCCO1)C2,6.17472012,0.05224512,226.24
C1C2C13C2C3,2.07674352,-2.70994349,1090.62
C1[C@@H]2[C@@H](O2)CO1,9.29854292,2.33769701,150.58
C[C@@H](C/C=C/CO)O,6.68084472,0.06639484,201.08
C[C@@H]([C@H]1CO[C@@H]1OC)O,7.90942137,1.18150162,172.77
C[C@@H](C([C@H]=C)O)O,7.37173201,0.46639654,191.25
C[C@@H]([C@H]1[C@@H]([C@H]1CO)O)O,7.77064527,1.36980174,176.83
C[C@@H]([C@H]1[C@@H]([C@H](O1)O)O)O,8.36955938,1.45415584,171.92
C[C@@H]([C@H]1C(=C)C1(C)C)O,7.10996219,0.81224835,217.37
CO[C@@H]([C]1[CH][CH][CH][CH]1)[CH]CCCCCC,1.03238534,-3.84600274,1592.9
C1[C@@H]2[C@@H](O2)[C@H]3[C@@H]1O3,9.38289702,2.01851198,157.09
C[C@@H]([C@H]1[C@@H](OC1)C)O,7.84357075,1.33361111,177.21
C[C@@H](C(C=C)O)O,6.9224784,-0.01578238,208.56
C[C@@H]([C@H]1[C@@H](C=CO1)O)O,6.63893978,0.90013988,199.78
CO[C@@H]([C]1[CH][CH][CH][CH]1)[CH]CCCCCC,1.1210932,-3.60164796,3163.78
C[C@@H](C([C@@H]=C)OO)O,6.55649045,-0.1142862,223.93
CO[C@H]([C@H]1[C@@H](CCCO1)O)OC,7.82533938,1.50150298,182.25
C[C@@H]([C@H]1C[C@@H](CO1)O)O,7.83159791,1.170073,175.75
C[C@@H]([C@H]1C=C[C@@H](CO1)O)O,6.58070824,0.13088491,218.78
C[C@@H]([C@H]1C(O1)(C)C)OC,8.62806388,2.03320592,164.86
C[C@@H]([C@H]1[C@@H](O1)C(C)C)O,8.2966339,1.4285775,176.36
C[C@@H]([C@H]1C[C@@](O1)(C)C)O,8.05146279,1.53252352,178.46
C1C23C1C(C2)O3,5.27403602,0.03074843,253.55
C[C@@H]([C@H]1CC=CC1=O)O,5.07838893,-1.49170702,355.75
C[C@@H](C([C@H]=C)OC)O,7.28955479,0.5088457,197.46
C1COOCO1,8.89173847,1.83619828,167.28
C[C@@H]([C@H]1[C@@H](COC1)C)O,7.7115974,1.31020965,177.55
C[C@@H](C([C@@H]1CO1)O)O,8.25935483,1.28517553,172.19
C[C@@H]([C@H]1[C@@H]([C@@H]1O)CO)O,8.02642867,1.51157105,181.15
C[C@@H]([C@H]1[C@@H]([C@H]1F)CO)O,8.190511,1.46204703,175.83
C1[C@@H]2[C@@H](O2)[C@@H]3[C@H]1O3,8.75867668,1.54068682,168.67
C[C@@H]([C@H]1C=C[C@@H](O1)CO)O,6.73962048,0.57387999,208.18
C1[C@H](C[C@H]2[C@@H]1COCC2)O,8.12574882,1.49769344,175.12
C1[C@@H]2[C@@H](O2)[C@H]3[C@@H]1O3,9.38289702,2.01823987,157.09
C1[C@@H]2[C@@H](O2)[C@@H]3[C@H]1O3,8.75894879,1.54068682,168.66
C[C@@H](C([C@H]1CO1)O)O,7.8966322,0.8081667,186.84
C[C@@H]([C@H]1C[C@H](O1)C(=O)O)O,6.08138639,-0.7646291,262.26
C[C@@H]([C@H]1[C@@H](O1)CC=C)O,7.20384014,0.42694059,188.6
C[C@@H](C[C@@H](C#C)O)O,7.57717506,0.85850705,191.73
C[C@@H]([C@H]1[C@@H]([C@@H](O1)C)O)O,7.71676749,1.07592294,185.66
C1[C@@H]2[C@H]1[C@@H]([C@H](C2)O)CCO,8.54561455,1.6653132,171.14
C[C@@H](C/C=C/C(=O)OC)O,5.79975254,-1.28191021,290.03
C1C2=C1C(=CC=C2)F,5.60437756,-0.60054677,243.23
C1C23C14C5C2C3C45,5.74288155,0.02530623,278.38
C[C@@H](C/C=C/[C@@H](C)O)O,6.52655835,-0.02693889,212.87
C1[C@H](C[C@H]2COC[C@@H]2C1)O,7.98670061,1.46041437,172.36
C[C@@H]([C@H]1[C@@H]([C@@H]1O)CO)O,7.66071283,1.20707996,187.13
C[C@@H](C([C@H](CO)O)O)O,7.10941797,0.87102411,202.39
C[C@@H](C/C=C/[C@@H]1CO1)O,6.87758025,0.26830046,204.2
C1[C@@H]2[C@@H](O2)C[C@H]1O,8.44656651,1.47592464,171.46
C[C@@H]([C@H]1[C@@H](CO)CO1)O,7.86887698,1.48163895,183.25
C1COC[C@H]1O,7.85826469,1.31129809,176.28
C[C@@H]([C@H]1COC(O1)(C)C)O,8.18670146,1.45225107,173.85
C[C@@H]([C@H]1[C@@H]([C@H](CO1)O)O)O,7.72193758,1.11401834,182.84
C[C@@H]([C@H]1C=CCC1=O)OC,5.70097661,-0.6285741,317.96
C[C@@H](CC=O)C(=O)OC,5.79730355,-1.26340673,314.99
C[C@@H]([C@H]1[C@@H]([C@@H](CO1)O)O)O,7.60710716,0.91129639,184.58
C[C@@H](C(C(=O)C)O)O,5.83349418,-0.39319895,308.79
C[C@@H]([C@H]1[C@@H](OO1)C)O,6.72628709,1.1863996,221.34
CO[C@@H]([C]1[CH][CH][CH][CH]1)[CH]CCCCCC,0.92136446,-3.87702328,10894.27
C[C@@H]([C@H]1CO[C@@H](O1)C=C)C,7.02152644,0.22530708,207.28
C1C2=C(O1)C=CC=C2,6.00329082,-0.21306213,240.06
C[C@@H]([C@H]1[C@@H]([C@H](CO1)O)O)O,7.22207151,0.56653302,195.6
C[C@@H](C(O[C@@H])(C)C)O,3.76573029,-1.91511018,558.39
C[C@@H]([C@H]1C=C[C@H]1C(=O)C)O,5.69090854,-0.91020795,310.45
C1C2C(=O)OC1OC2=O,6.07458364,-2.00626703,271.6
C[C@@H](C/C=C/[C@@H](C)O)O,6.53553798,0.08870786,207.14
C[C@@H]([C@H]1[C@@H](O[C@@H]1F)CO)O,8.39595405,1.05388203,170.72
CC(=O)O[O-],4.06015331,5.68111258,387.97
C1C2[C@@H](O2)CC1=O,6.00982146,-0.94394959,300.36
CC([C])[CH2],1.31565185,-3.38341574,7924.37
C[C@@H](C/C=C/[C@@H]1CO1)O,6.73662727,0.19374232,207.04
C[C@@H]([C@H]1[C@@H](O1)C(C)C)O,8.28901482,1.34803294,175.82
C[C@@H]([C@H]1C=C[C@@H]1CO)CO,6.51757872,0.35728043,201.24
C[C@@H]([C@H]1[C@@H]([C@@H]1CO)C)O,8.11214332,1.63211578,177.63
C1[C@H]2[C@@H](C1=O)C2=O,4.71539419,-2.204091,381.41
CC([C])([CH2])F,1.25687609,-4.24818132,6089.2
C[C@@H](CCO)CC(=O)O,6.74479057,-0.47592039,252.49
C1C2COC(O1)O2,9.15541306,2.09198168,153.45
C[C@@H](C[C@@H]1C[C@H]1F)C,9.12901839,1.98721933,151.75
C1C2(O1)CC2C(=O)[O-],3.1129384,3.12763234,537.16
C[C@@H](C/C=C/[C@@H](C)O)O,6.76030084,0.47728094,193.78
C[C@@H]([C@H]1COC(O1)(C)C)O,7.82452305,1.13551503,182.73
C[C@@H](CC1C[C@@H]1C)O,8.09472828,1.46367969,180.25
C1C2=CC(=CC=C12)F,5.51430915,-0.44653251,252.39
C[C@@H]([C@H]1CC2CC1C=C2)O,6.96438334,0.68816619,182.73
C[C@@H](C[C@H]1CCCO1)O,7.98751694,1.74368088,175.75
C[C@@H](C([C@H](CO)O)O)O,7.60193707,0.90830318,187.66
C[C@@H]([C@H]1C[C@@H]2C[C@H]1C=C2)O,6.83839641,1.00435801,192.27
C[C@@H]([C@H]1[C@@H]([C@@H](CO1)O)O)O,7.88928523,0.95347344,180.81
C[C@@H]([C@H]1[C@@H](C=CO1)C=C)O,6.08274694,0.15591903,232.69
CO[C@@H]([C@H]1CCCC[C@@H]1CCO)OC,8.31432105,1.47429198,171.87
C[C@@H]([C@H]1COC(O1)(C)C)O,7.94751677,1.15592328,177.63
C[C@@H](CC(C)(C)O)O,8.42561404,1.43973401,172.87
C[C@@H]([C@H]1C=C[C@@H]1CO)CO,6.65227317,0.56299559,196.5
C[C@@H](C([C@@H](CO)O)O)O,7.17173116,0.89986777,200.65
CO[C@H]([C@H]1CCCO[C@@H]1CCO)O,8.26289226,1.69687796,172.06
C[C@@H](C([C@@H]1CO1)C)O,8.38289277,1.34721661,173.35
C[C@@H]([C@H]1C=CC[C@@H]1CO)O,7.16356786,0.84816687,190.99
C1C2[C@@H]1C3C4C2C34,4.81280957,-0.01823137,302.88
CC(=C)O,7.15431612,1.17524309,205.44
C[C@@H](CC1=CC=CC=C1)O,6.4326804,-0.04544237,228.32
CC(=C(F)F)F,7.21962252,0.23564726,170.18
C[C@@H](C([C@H]1CO1)C)O,8.14915028,1.29605993,173.41
CC(=C=C)C,0.8244933,-2.81606639,-1650.91
C[C@@H](C/C=C/C(=O)OC)O,5.7741742,-1.27864489,289.99
CC(=C=O)C,4.68246888,-1.19374657,415.51
C[C@@H](C/C=C/C)C(=O)C,5.68628267,-0.61959447,307.4
CO[C@H]([C@H]1[C@@H](COCC1)OC)OC,7.9891496,1.99211731,174.76
C[C@@H](C([C@H]=C)OC=C)O,6.14805334,0.26530725,233.6
C[C@@H]1[C@H]([C@H](O1)O)O,8.2394908,1.19755611,176.85
C[C@@H]([C@H]1[C@@H](CO1)C)O,7.99595235,1.45660483,180.23
CC1=[O+][C]1,2.31674454,-11.97392844,1776.98
CC(C([O-])[O-])O,1.5292582,9.8694297,1501.66
C1C2(OC2=O)OCOC1O,5.6762146,-2.08735581,304.55
CC([C]C(F)F)(F)F,2.63184792,-4.53008728,1422.93
C1[C@@H]2[C@@H](C[C@H]1O)CO2,8.04139472,1.40816925,175.24
C[C@H]1CO[C@@H](O1)C(C)(C)C,8.73935687,2.02558684,159.44
CC(=[O+]C)OC,6.88411089,-7.28275204,213.67
C[C@@H](C(=O)OC(C)C=C)O,6.38778225,-0.73714599,263.49
C[C@@H]([C@H]1[C@@H]([C@H]2[C@@H]1O2)O)O,7.89880908,1.07619505,180.76
C[C@@H]([C@H]1[C@@H](C[C@@H]1O)CO)O,7.7796249,1.16653557,185.48
C[C@@H]([C@H]1C[C@@H]2C[C@H]1C=C2)O,6.83866852,1.00463012,192.27
C[C@@H](C(=O)C(C)(C)C)O,5.70288138,-0.90231676,312.1
C[C@@H](C(C#C)C(=C)C)O,6.82152559,0.19809608,198.57
C1C2[C@@H]1CC(=O)C=C2,4.90940862,-1.55728553,372.82
C[C@@H]([C@H]1[C@@H](C[C@H]1O)CO)O,7.87649606,1.15891649,180.58
C[C@@H](C(=C(C)C)CO)O,6.05471961,0.01687082,216.43
C[C@@H](CCO)C(C)C,8.61092095,1.66286421,173.31
C1CO[C@H]([C@H]1O)CO,7.51513398,1.09361009,186.31
CC(=O)/C=C/O,5.22478411,-1.36027789,343.67
C[C@@H]([C@H]1[C@@H](C[C@@H]1O)CO)O,7.9891496,1.20190987,178.77
C[C@@H]([C@H]1[C@@H](OCO1)CO)O,8.07921801,1.33361111,176.26
C1COOOOOOOC1,7.49254885,0.25823239,204.18
C[C@@H]([C@H]1[C@@H]([C@@H](O1)C)O)O,7.5701002,1.04544662,186.76
C[C@@H](C([C@H]1COCO1)O)O,7.63867192,1.01333764,183.37
C[C@@H]([C@H]1C[C@H]2CC[C@@H]1C2)O,8.52139676,1.56653727,170.14
C[C@@H](CO)/C=C/C(C)C,6.75132121,0.34503548,192.09
C[C@@H]([C@H]1[C@H](CCO1)O)O,7.75948876,1.20626363,181.62
C1C23C1COC(C2)O3,4.67430558,-0.31510338,330.92
C[C@@H]([C@H]1C[C@@H]1C(C)(C)C)O,8.49336943,1.72463318,172.71
C1C2[C@@H](C3C1C3[C@H]2F)F,9.81745669,2.17007725,141.77
C[C@@H](CC#CCO)C(=O)OC,6.51322496,-0.52109065,249.22
C[C@@H]1[C@H]([C@H]2[C@@H]1O2)C,8.38996763,1.72109575,162.71
C[C@@H]([C@H]1[C@@H](OCO1)CO)OC,8.18615724,1.56844204,172.61
C[C@@H](C(CCC(=O)C)O)O,5.90124957,-0.73143168,305.68
C[C@@H]([C@H]1C[C@@H]2[C@H]1C=CC2)O,7.13390787,0.72952691,186.8
C[C@@H]1[C@H]([C@H]1OC)O,7.96057805,1.70640181,182.92
C1[C@H]2[C@@H]([C@@H](C1=O)O2)O,5.59675848,-1.01796351,317.38
CC1O[CH]1C,9.66317032,2.70722239,148.72
C[C@@H]([C@]([C@@H])(CO)O)O,2.53715364,-3.047632,1631.38
C[C@@H]([C@H]1[C@@H]([C@H]1CO)O)O,7.71812804,1.56272773,183.36
CC1OCOO1,8.46506999,1.80708251,183.49
C1[C@@H]2[C@@H](C2C(O1)CO)O,7.60792349,1.33905331,185.3
CC1(OO1)F,8.60738352,1.2136106,196.81
C1[C@H]2[C@@H]([C@@H]([C@@H]1O2)O)O,7.28492892,0.76979919,199.98
C[C@@H](CC[C@@H]1CO1)C(=O)C,6.04982163,-0.52000221,299.27
C[C@@H](CO)OC(C)(C)C,7.98016997,1.39102632,180.12
CC1O[CH]1F,10.00031461,2.18667596,142.82
CC1OCOO1,8.46425366,1.80599407,183.53
C1[C@H]2[C@@H](C([C@@H]1O)O)O2,7.47105216,0.63211153,195.61
C[C@@H]1[C@H]([C@H]([C@@H]1O)O)O,7.74125739,1.07510661,187.08
C1[C@H]2[C@@H](C[C@H]1C=O)O2,5.75893604,-1.22340656,317.36
C1[C@H]2[C@@H](CC(=C1)O2)O,4.36355596,-1.53007453,300.16
C[C@@H](C([C@@H](CO)OC)O)O,7.26778599,1.12871228,199.69
C[C@@H]([C@H]1[C@@H](C[C@@H](O1)O)O)O,8.06860572,1.15347429,175.36
C1CO[C@H](CO1)OCC=O,5.41362845,-1.45905382,317.63
C[C@@H](CO)C1CCCO1,7.91976155,1.69089154,175.97
C1C2[C@@H]([C@@H]3C1C3[C@H]2F)F,9.8177288,2.17062147,141.77
C[C@@H]([C@H]1CC(O1)(C)CCO)O,8.27296033,1.57442846,171.7
C[C@@H]([C@H]1[C@@H](OO1)OC)OC,7.25581315,1.06286166,219.42
C[C@@H](C[C@@H]1C[C@@H]2C[C@H]1O2)O,8.09608883,1.45551639,172.14
C1COO[C@@H](CO1)CO,8.06370774,1.57714956,176.95
C[C@@H](C(=CCCC=C)O)O,6.26995862,0.6149686,224.56
C1[C@H]2[C@@H](C(COO2)O)O1,6.8680564,0.41823307,233.9
C1[C@@H]2[C@@H](C[C@H]1[C@@H]3[C@H]2O3)O,8.60003655,1.66231999,171.03
C[C@@H]([C@H]1[C@H]([C@H](CO1)O)O)O,7.07322734,0.69279206,201.7
C[C@@H]1[C@H]([C@H]([C@@H]1O)O)O,7.69880823,1.1238143,187.15
C1C2C[C](C1C[C]2O)O,0.96354151,-3.60518539,3931.77
C[C@@H]([C@H]1[C@@H](O1)C(C)C)O,8.3564981,1.3904821,170.34
C[C@@H](C[C@@H]1CCCC(=O)O1)O,6.59186475,-0.44789306,257.62
CC(=O)/C=C/C=C/OC,4.22423564,-1.83919149,390.93
C[C@@H](C(C[C@@H](CO)O)O)O,7.77472692,0.88027585,178.38
CC(C[C]F)C(=O)O,3.41552472,-2.92599883,662.8
CC(=COCOC)C,6.69308967,1.21116161,187.32
CC(=C[C@@H]1[C@H](O1)C#C)O,6.28927843,0.39537583,216.52
C1[C@@H]2[C@@H](COCO1)OCO2,8.78071759,1.80272875,159.33
C1[C@H]2[C@@H](COC(O1)O)O2,8.61119306,1.40381549,168.73
C1COC[C@@]2(C1O)CO2,8.00602042,1.24517536,174.35
C[C@@H](C[C@@H](C[C@@H](CO)O)O)O,8.03676885,1.05986845,182.75
C[C@@H]1[C@H]([C@H]2[C@@H](C1=O)O2)O,5.53771061,-1.27265847,328.06
CC(=C(C)C(=O)O)C,5.4775743,-1.08381413,280.35
CC(C#C/C=C/OC)O,5.53090786,-0.17741572,230.49
C[C@@H](C(OC)OC)C(=O)OC,6.61989208,-0.33551163,257.69
C[C@@H](CO)[C@H](CCC=C)O,7.44248061,0.598642,177.4
C1[C@H]2[C@@H](C2=CC3C1O3)O,2.44028248,-2.09198168,829.24
C1C2C=CC1C(C2O)O,6.71458636,0.41687252,197.62
C1[C@H]2[C@@H]([C@@H](C1=O)OC2)O,5.26777749,-1.13823613,336.87
C[C@@H]1[C@H]([C@H]1OC)C=C,6.92628794,0.72354049,199.31
CC1O[C@@H](CO1)O,8.76275833,1.66993907,159.79
CC(=CC#COC)C,5.44274422,-0.04761925,241.24
CC(C/C=C/C(=O)O)O,5.64192874,-1.60408845,294.11
C1[C@H]2[C@@H]([C@@H]1C3C2C3)O,8.15268771,1.66966696,173.02
CC(/C(=C/F)/F)F,6.92928115,-0.13986454,187.23
CC1OC=CC(=O)O1,5.62206471,-1.54993856,289.26
C[C@@H]1[C@H]([C@H]2[C@@H]([C@@H]1O)O2)O,8.17119119,1.24599169,176.35
CC(=O)[C@@H]1C[C@H]1CO,5.97308661,-0.71864251,303.95
C1C/C=C/C=[O+]C1,4.67158448,-8.28193996,304.18
CC(/C(=O)[O-])O,4.72899969,5.28519253,323.08
CC(/C(=C)F)F,7.00982571,-0.22938873,172.31
C[C@@H]1[C@H]([C@H]1OC)C=C,6.92710427,0.72408471,199.3
C[C@@H]([C@H]1[C@@H]([C@@H]1F)O)CCO,8.10833378,1.28952929,180.02
C1[C@H]2[C@@H]([C@@H]1O)CCC2=O,5.66641864,-0.63537685,318.36
C[C@@H]([C@H]1CC[C@H](O1)CCO)OC,7.8422102,1.58231965,170.76
C1[C@H]2[C@@H](C[C@H]([C@@H]1O2)O)O,7.83023736,1.32354304,180.52
C=C[C@H]([C@H]1OCCCO1)O,7.24982673,0.58394806,186.21
C1[C@H]2[C@@H](C[C@@H]2O)OC1O,8.11812974,1.49796555,175.02
C1C/C=C/COC1,6.99132223,0.53850569,199
CC(/C(=O)F)C(=O)F,7.09309137,-1.69415686,240.11
C[C@@H](C(C)(C)[C@H](C)O)O,7.68220952,1.34612817,188.27
CC(/C(=C)F)F,7.01064204,-0.22911662,172.3
C1C2(COC(O1)OC2)CO,7.71404639,0.91537804,176.44
CC1O[C@@H]1OCC=C,7.12982622,0.33850484,187.7
C[C@@H]([C@H]1[C@@H](CO[C@@H]1CO)O)O,7.7877882,1.1591886,175.26
CC(/C(=C/F)/F)(F)F,7.06424771,-0.53251927,176.76
CC(=O)[C@H](CC=C)O,5.65471791,-0.89469768,318.09
C1[C@H]2[C@@H](C[C@@H]([C@@H]1O2)O)O,7.73254987,1.43810135,183.15
C1COO[C@@H]1C2=CC=CC=C2,5.87267802,-0.14013665,243.44
C[C@@H]([C@H]1CC[C@@H](O1)CCO)OC,8.2204431,1.78830692,173.7
CC(CC/C=C/O)O,6.70832783,0.9578272,212.13
C[C@@H]([C@H]1CC[C@@]1(C)CC=O)O,5.84982078,-0.70503701,313.92
C[C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O,7.92574797,0.9714327,182.74
C[C@@H]1[C@H]([C@H]2[C@@H]([C@H]1O)O2)O,8.26642969,1.26558361,174.51
CC(C#CO)C1OCCO1,6.84438283,0.59020659,221.5
C1[C@H]2[C@@H]([C@@H]3[C@H]1C3)CC2O,8.35758654,1.6625921,175.56
CC1O[C@@H](CO1)C,9.01418797,2.25143814,154.58
C[C@@H](C[C@@H]1C=CCC=C1O)O,6.10424363,0.76381277,239.14
C[C@@H](C[C@@H](CCCC=C)O)O,6.9741793,0.5959209,192.6
C1C/CC(C=O)(C1)O,5.67594249,-1.2979647,328.48
CC(/C(=O)C(F)F)F,5.25281144,-2.65116773,362.12
C[C@@H](COC1CCCCO1)C=O,5.85961674,-0.85360907,310.4
CC(C)OCC(=C)C,6.88955309,0.66503684,192.87
CC1=[O+]C#CC=CC1=O,2.68817469,-9.66725197,722.14
CC1=[O+][C@@H]1O[C@H](C)C,2.65797048,-9.5156867,714.64
CC[C@H]1CO1,9.34071997,2.3265405,150.93
CC(/C(CF)(F)F)O,8.94616047,1.18150162,163.83
C1COOCC1CCC(=O)O,6.59023209,-0.60163521,250.28
CC(/C(CF)F)F,10.06507679,1.30694433,141.41
C[C@@H]([C@H]1[C@@H](O[C@@H]1OC)CO)O,8.23214383,1.33986964,174.55
C1CO[C@H]2[C@@H]1[C@H](CO2)CO,8.11812974,1.26857682,170.33
CC(/C(=C)CF)F,6.98615214,-0.45143049,178
CC(/C(CF)(F)F)O,8.37445736,0.81932321,176.68
CC1=[O+][C@@H](CO1)CO,4.36763761,-7.39023549,344.44
CC1C(=CCC1=O)C,5.86560316,-0.63646529,307.72
CC(/C(CF)(F)F)F,9.78181028,0.94775913,148.1
C[C@@H]1[C@H]([C@H](OC1=O)CO)O,6.54125229,-0.74422085,256.97
CC(/C(=O)C)OC,5.62015994,-0.80871092,319.56
CC[C@H]1OO1,8.3619403,1.5836802,193.34
C[C@@H]1[C@H]([C@H]1CO)C(=C)C,6.80492688,0.52762129,195.38
C[C@@H](COC)[C@@H]1CCCC1=O,5.64655461,-0.77932304,316.12
CC(=O)[C@@H]1CC[C@@]1(C)O,5.89526315,-0.67075115,305.35
CCOCF,10.25637012,2.4789221,135.84
CC(/C(=C)C(=O)C)F,4.97308236,-1.89170872,368.27
CC1C=COC1COO,6.70533462,0.86911934,192.68
CC1O[C@@H]2[C@H]([C@@H]1O)C=C2,6.40438096,-0.02666678,226.63
CC1([CH][CH]1)[C](C)(C)O,2.40654084,-3.55430082,831.75
C[C@@H]1[C@H]([C@H]2[C@@H]([C@H]1O)[C@H]2O)O,7.96057805,1.29497149,179.67
CC1=[O+]CC(O1)COC,3.45742966,-7.30833038,448.74
CC(C/C(=C/CO)/C)O,6.61363355,0.54884587,196.06
C[C@@H](C[C@@H](C)OCCCCO)O,8.20574916,1.5591903,171.38
CC[C@H]1[C@@H](O1)C,9.31514163,2.40436396,151.69
C1C/C=C/C=C/CC1,6.12900564,0.0462587,214.04
C[C@@H]1[C@H]([C@H]1CO)C(=C)C,6.66560656,0.29632779,199.53
CCO/C=C/F,6.79213771,0.80979936,182.66
CC1C(OCO1)(C)C,8.66588717,1.97878392,159.62
CC1O[C@@H]([C@@H](O1)C)C,8.87024178,2.14531524,154.98
CC([C]CC(C)(C)C)O,3.020421,-2.27021373,868.99
CC(C#C)C1C(O1)(C)CO,7.96765291,1.26694416,182.03
CC(C[C]CO)OC(C)C,2.71402514,-2.57470482,1150.91
C[C@@H]1[C@H]([C@H]2CO[C@@H]1C2)C,8.40520579,2.06449857,165.28
CC(/C(=O)[O-])C(=O)OC,3.51430065,3.52191973,479.09
CC1O[C@@H]2[C@H]([C@@H]1O)C2=C,6.40220408,0.12707537,239.21
CC(/C(=O)O)OCCO,6.15186288,-0.66177152,260.23
CC(/C(=C/O)/CO)C,6.3428841,0.61660126,224.91
CCO/C(=O)F,7.59567854,-0.8408199,221.33
C[C@@H]1[C@H]([C@H]2C[C@@H]1C=C2)C,6.94451931,0.66095519,184.02
C[C@@H]1[C@H]([C@H]2CCC[C@H]2O1)O,7.60139285,1.23565151,185.45
CC(=O)[C@H]1CCCCC1=O,5.26941015,-1.31864506,327.72
CC1O[C@@H]([C@H](O1)CO)C,8.14098698,1.45932593,175.31
CC(/C(CF)CF)(F)F,10.37473797,1.60300001,133.21
CC(=C/C=C/CCC=C)C,5.52519355,-0.11183721,239.91
CC(=O)C1CC2=CCC1C2,3.76763506,-1.49470023,365.97
