SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
CO[C@H]1C=CC2[C@H]3C1C32,3.40083078,-1.00027636,483.82
C[C@H]([C@@H]1CCOC1=O)O,6.69091279,-0.61088695,254.91
C1[C@@H]([C@H](O[C@H]1O)CO)O,8.24710988,1.12490274,174.81
CC[C@](C)(C#CC(=O)O)O,5.72709917,-1.61279597,298.79
C1C[C@H]([C@@H](C1)O)CO,8.32302857,1.74721831,176.18
C=COC(C1=CC=CO1)O,6.33363236,0.06394585,220.17
C[C@@H]1C[C@H](C(=O)C1)OC,5.24138282,-1.00326957,343.71
C/C=C/O/C=C/C,5.71131679,0.27292633,230.46
C/C=C/[C@@H]([C@H](CO)O)O,6.50288478,0.19891241,211.09
C1C/C(=C/O)/CCC1=O,5.5374385,-0.39836904,304.08
CC[C@H](C)[C@@H](C(=O)O)O,6.43648994,-0.8108878,265.82
CCC=O,6.00628403,-0.8380988,308.03
C/C/1C#CCC1=C,4.69308117,-1.84844323,354.35
C/C=C/C1CCOCO1,6.68492637,0.3619063,199.75
C=C[C@@]1(C=CCC=C1)O,6.62560639,0.0653064,213.62
C/C(=C/C(=O)[O-])/OC,3.58069549,4.55267241,522.45
C=COCC1CCCO1,6.91349877,0.85279274,188.2
CC#C/C=C/CCCO,5.67675882,-0.27374266,233.02
C[C@@H](CO)[C@@H](C)CO,8.39268873,1.4557885,173.32
C[C@@H]1[C@H](O1)[C@@H](CC=C)O,6.8707775,0.15537481,198.58
C/C=C/[C@H](C)/C=C/CO,6.63866767,0.25904872,212.04
C1C=C(OC1(CO)O)C=CF,4.9605653,-0.9496639,260.11
C1C/C=C/CCC=C1,6.67458619,0.51456001,207.92
C=COCC1CCCO1,6.91349877,0.85279274,188.2
CCC,11.30916371,2.47048669,121.72
CC[C@@H]1OC[C@H](O1)C,8.96711294,2.23783264,155.21
CCC[C@@]1(C[C@@H]1C)O,8.52683896,1.75565372,169.6
C=C1[C@@H]2CC[C@H]1[C@@H]3[C@H]2O3,7.11676494,0.43918554,178.8
C#C[C@@]1(CCC[C@@H]2[C@H]1O2)O,7.836768,0.70775811,188.72
